bbrefID,mlbamID,name,team,pos,headshot_url,is_active
pukaj01,640462,A.J. Puk,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/640462/headshot/67/current",True
delcaad01,680728,Adrian Del Castillo,Arizona Diamondbacks,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680728/headshot/67/current",True
thomaal01,677950,Alek Thomas,Arizona Diamondbacks,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/677950/headshot/67/current",True
hoffman01,694851,Andrew Hoffmann,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694851/headshot/67/current",True
saalfan01,685314,Andrew Saalfrank,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/685314/headshot/67/current",True
walstbl01,686796,Blake Walston,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/686796/headshot/67/current",True
alexabl01,677942,Blaze Alexander,Arizona Diamondbacks,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/677942/headshot/67/current",True
pfaadbr01,694297,Brandon Pfaadt,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694297/headshot/67/current",True
garcibr02,805299,Brandyn Garcia,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/805299/headshot/67/current",True
burneco01,669203,Corbin Burnes,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669203/headshot/67/current",True
carroco02,682998,Corbin Carroll,Arizona Diamondbacks,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682998/headshot/67/current",True
menacr01,691441,Cristian Mena,Arizona Diamondbacks,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/691441/headshot/67/current",True
