"dataset","model","sampling","balanced_acc","balanced_acc_sd","roc","roc_sd","sens_cv","spec_cv","ppv_cv","npv_cv","optimal_threshold","sens_at_optimal","spec_at_optimal","brier_score","alpha","lambda","n.trees","interaction.depth","shrinkage","n.minobsinnode","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","sigma","C","mtry"
"data_25","glmnet","none",0.640523655421701,0.0722820964325674,0.934366740077121,0.0468889064898445,0.288690476190476,0.992356834652926,0.590147783251232,0.97686151807351,0.0252435605277422,0.841051505425646,0.921296296296296,0.0242267596924101,1,0.00112883789168469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","glmnet","up",0.878936884963025,0.0559049381675929,0.929423316496805,0.0541879758074644,0.871428571428571,0.886445198497479,0.205044336710067,0.995228698903046,0.450534702702257,0.872841204340517,0.898148148148148,0.0853185282370838,0.75,0.00379269019073225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","glmnet","down",0.879431919284408,0.061562491773048,0.932088285546718,0.049468284993757,0.89702380952381,0.861840029045006,0.179102590721982,0.995997853477722,0.502088924414808,0.862754088338683,0.893518518518518,0.105120137191905,0,0.263665089873036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","glmnet","smote",0.873598219397516,0.0616689718008083,0.934720663746207,0.0478469714374975,0.859523809523809,0.887672629271222,0.204405097215312,0.994715352075546,0.399779378441817,0.845330887971878,0.916666666666667,0.0879986221346131,0.75,0.0428133239871939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","glmnet","rose",0.886154224791588,0.054930246645954,0.936723953751414,0.0492632952521981,0.891666666666667,0.88064178291651,0.201428228527127,0.99588659244611,0.543786126543596,0.864129604157114,0.916666666666667,0.697602201295325,0.5,0.0127427498570313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","gbm","none",0.636157379147042,0.0831265833502863,0.929136413530265,0.0401844914065392,0.283928571428571,0.988386186865513,0.482613076578594,0.976638749738226,0.00737044215517601,0.821030108512915,0.907407407407407,0.0268433908677769,NA,NA,100,5,0.05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","gbm","up",0.829129512598471,0.0990499729200046,0.927813566620985,0.0485223707684076,0.734523809523809,0.923735215673132,0.240208344116295,0.990576952730617,0.197111622098188,0.849915940699985,0.865740740740741,0.059599941178686,NA,NA,100,3,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","gbm","down",0.864483054752629,0.0717726303598835,0.923949986135797,0.0606515683585705,0.883333333333333,0.845632776171924,0.161690369763456,0.995445661670611,0.524860450515112,0.852208467064038,0.87962962962963,0.11551969131441,NA,NA,100,7,0.05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","gbm","smote",0.818393607704906,0.084865504196475,0.932414917183831,0.0455636627389593,0.697619047619048,0.939168167790764,0.276823284844957,0.989420184637428,0.0853050175710911,0.790463090325539,0.949074074074074,0.0499070907929995,NA,NA,100,3,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","gbm","rose",0.506265622163574,0.00433898853000311,0.84588062372953,0.101200815191192,1,0.0125312443271473,0.0323472280231161,1,0.999999999961523,0.330429466605533,0.824074074074074,0.954686818714699,NA,NA,300,7,0.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_25","xgbTree","none",0.611257009401725,0.092412033605927,0.916399219714697,0.0487504683186695,0.232142857142857,0.990371161660592,0.410542328042329,0.975061153518135,0.00616695918142796,0.804676753782668,0.884259259259259,0.0262790068818568,NA,NA,NA,NA,NA,NA,200,6,0.1,0,0.8,5,0.8,NA,NA,NA
"data_25","xgbTree","up",0.778296189239384,0.100895988193769,0.92377513759473,0.0506860776626317,0.6,0.956592378478768,0.317022937633551,0.98634585305361,0.0455466322600842,0.823169799786031,0.87962962962963,0.0407178150210003,NA,NA,NA,NA,NA,NA,100,4,0.05,0,0.8,5,0.8,NA,NA,NA
"data_25","xgbTree","down",0.865922986847959,0.067629582504251,0.923206038259215,0.0631553223719391,0.878571428571429,0.853274545124489,0.166566506083916,0.995307719528429,0.522419631481171,0.85847470579245,0.875,0.109830018540305,NA,NA,NA,NA,NA,NA,200,4,0.1,0,0.8,5,0.8,NA,NA,NA
"data_25","xgbTree","smote",0.783668667500514,0.10673756561871,0.930217278985659,0.0477121319054186,0.609523809523809,0.957813525477218,0.322129422864717,0.986674474685357,0.0335818529129028,0.793061286871466,0.935185185185185,0.0383068800254632,NA,NA,NA,NA,NA,NA,100,4,0.05,0,0.8,5,0.8,NA,NA,NA
"data_25","xgbTree","rose",0.506417829165096,0.00352889296309218,0.935875058099986,0.0523855530394319,1,0.0128356583301914,0.0323570741690035,1,0.983820378780365,0.887207702888583,0.875,0.737398047946287,NA,NA,NA,NA,NA,NA,200,6,0.1,0,0.8,5,0.8,NA,NA,NA
"data_25","svmRadial","none",0.58433883712255,0.0596344366215031,0.764631234652128,0.11911928755126,0.171428571428571,0.997249102816528,0.654320987654322,0.973314477014483,0.0278473129759754,0.793519792144276,0.680555555555556,0.0266502907651335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_25","svmRadial","up",0.827156506899186,0.082284812989573,0.921947182375107,0.0551829034459816,0.739285714285714,0.915027299512658,0.224261900730594,0.990642463890307,0.242806679828973,0.869478832339905,0.902777777777778,0.0689744137806217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
