"teamID","n_players","n_hof","hof_rate","market_size","pennants","world_series"
"NY1",79,13,16.4556962025316,"Large",17,7
"NYA",114,13,11.4035087719298,"Large",41,27
"MON",41,4,9.75609756097561,"Medium",0,0
"CHN",150,13,8.66666666666667,"Large",17,3
"SLN",140,12,8.57142857142857,"Medium",19,11
"PIT",155,13,8.38709677419355,"Small",9,5
"BRO",72,6,8.33333333333333,"Large",12,1
"PHA",55,4,7.27272727272727,"Large",9,5
"BOS",124,9,7.25806451612903,"Large",14,9
"ML4",28,2,7.14285714285714,"Small",1,0
"CHA",130,9,6.92307692307692,"Large",6,3
"DET",123,8,6.50406504065041,"Medium",11,4
"COL",32,2,6.25,"Medium",1,0
"SEA",52,3,5.76923076923077,"Medium",0,0
"PHI",158,9,5.69620253164557,"Large",8,2
"CLE",141,8,5.67375886524823,"Medium",6,2
"MIN",89,5,5.61797752808989,"Medium",3,2
"SLA",54,3,5.55555555555556,"Medium",1,0
"CIN",145,8,5.51724137931035,"Small",9,5
"WS1",55,3,5.45454545454545,"Medium",3,1
"SFN",66,3,4.54545454545455,"Large",6,3
"BSN",67,3,4.47761194029851,"Large",10,1
"BAL",72,3,4.16666666666667,"Medium",6,3
"ATL",56,2,3.57142857142857,"Large",6,2
"TEX",58,2,3.44827586206897,"Large",3,1
"HOU",67,2,2.98507462686567,"Large",5,2
"OAK",78,2,2.56410256410256,"Small",6,4
"KCA",58,1,1.72413793103448,"Small",4,2
"TOR",64,1,1.5625,"Medium",2,2
"NYN",65,1,1.53846153846154,"Large",5,2
"SDN",69,1,1.44927536231884,"Medium",2,0
"ARI",32,0,0,"Medium",2,1
"CAL",24,0,0,"Large",0,0
"FLO",26,0,0,"Medium",2,2
"LAA",24,0,0,"Large",0,0
"LAN",66,0,0,"Large",13,7
"MIL",34,0,0,"Small",0,0
"TBA",36,0,0,"Medium",2,0
"WAS",26,0,0,"Large",1,1
